rule_id,description,current_implementation_path,source_SOP_section,fields_referenced,severity_or_priority,is_deterministic,covering_scenarios
ACC-011,Anatomic site in LLM-review band (not whitelist or blacklist) -> PENDING_LLM_REVIEW,samantha_server/rules/specs/ACC-011.yaml,docs/design/anatomic-site-llm-review-design.md,anatomic_site,severity=PROCEED,true,"SC-114;SC-115;LR-004;LR-005;LR-006"
ACC-012,Anatomic site null -> MISSING_INFO_HOLD,samantha_server/rules/specs/ACC-012.yaml,knowledge_base/sops/accessioning.md#3.1,anatomic_site,severity=HOLD,true,SC-104
SP-001,Sample-prep step completed successfully -> advance,knowledge_base/workflow_states.yaml:rules[SP-001],knowledge_base/sops/sample_prep.md#2.1,"current_state;event.outcome=success",priority=1,true,"85 scenarios across rule_coverage/multi_rule/accumulated_state"
SP-002,"Sample-prep step failed, tissue available -> RETRY current",knowledge_base/workflow_states.yaml:rules[SP-002],knowledge_base/sops/sample_prep.md#2.2,"current_state;event.outcome",priority=2,true,"SC-019;SC-020;SC-024;SC-028;SC-029"
SP-003,"Sample-prep step failed, insufficient tissue -> ABORT (QNS)",knowledge_base/workflow_states.yaml:rules[SP-003],knowledge_base/sops/sample_prep.md#2.3,"current_state;event.outcome=fail_qns",priority=3,true,"SC-021;SC-022"
SP-004,Sample-prep QC passes -> advance to HE_STAINING,knowledge_base/workflow_states.yaml:rules[SP-004],knowledge_base/sops/sample_prep.md#3.1,"current_state;event.outcome=success",priority=4,true,"SC-023-SC-079 subset;SC-084-SC-099;SC-109-SC-111 (68 total)"
SP-005,"Sample-prep QC fails, tissue available -> RETRY (back to SECTIONING)",knowledge_base/workflow_states.yaml:rules[SP-005],knowledge_base/sops/sample_prep.md#3.2,"current_state;event.outcome",priority=5,true,"SC-025;SC-026"
SP-006,"Sample-prep QC fails, insufficient tissue -> ABORT (QNS)",knowledge_base/workflow_states.yaml:rules[SP-006],knowledge_base/sops/sample_prep.md#3.3,"current_state;event.outcome=fail_qns",priority=6,true,"SC-027;SC-028"
SP-007,Sectioning completes with RECUT_REQUESTED set -> clear flag and advance to SAMPLE_PREP_QC,samantha_server/rules/specs/SP-007.yaml,knowledge_base/workflow_states.yaml#flags.RECUT_REQUESTED,"current_state;event.outcome=success;flags=RECUT_REQUESTED",priority=0,true,"SC-093;SC-099"
HE-001,H&E QC passes -> route to PATHOLOGIST_HE_REVIEW,knowledge_base/workflow_states.yaml:rules[HE-001],knowledge_base/sops/he_staining.md#4.1,"current_state;event.outcome=success",priority=1,true,"SC-030-SC-079 subset;SC-087;SC-090-SC-099;SC-109-SC-111 (58 total)"
HE-002,"H&E QC fails, restain possible -> RETRY (back to HE_STAINING)",knowledge_base/workflow_states.yaml:rules[HE-002],knowledge_base/sops/he_staining.md#4.2,"current_state;event.outcome",priority=2,true,"SC-031;SC-032;SC-033;SC-084"
HE-003,"H&E QC fails, recut needed, tissue available -> RETRY (back to SECTIONING)",knowledge_base/workflow_states.yaml:rules[HE-003],knowledge_base/sops/he_staining.md#4.3,"current_state;event.outcome;event.backup_slides_available",priority=3,true,"SC-034;SC-035;SC-085"
HE-004,"H&E QC fails, insufficient tissue -> ABORT (QNS)",knowledge_base/workflow_states.yaml:rules[HE-004],knowledge_base/sops/he_staining.md#4.4,"current_state;event.outcome=fail_qns;event.backup_slides_available;event.tissue_remaining",priority=4,true,"SC-036;SC-037"
HE-005,"Pathologist diagnosis: invasive carcinoma -> PROCEED_IHC (ER, PR, HER2, Ki-67)",knowledge_base/workflow_states.yaml:rules[HE-005],knowledge_base/rules/breast_ihc_panels.md#HE-005,"current_state;event.diagnosis;event.added_markers;event.ihc_panel",priority=1,true,"SC-038;SC-039;SC-048-SC-079 subset;SC-090-SC-099;SC-110 (42 total)"
HE-006,"Pathologist diagnosis: DCIS -> PROCEED_IHC (ER, PR; HER2 only if originally ordered)",knowledge_base/workflow_states.yaml:rules[HE-006],knowledge_base/rules/breast_ihc_panels.md#HE-006,"current_state;event.diagnosis;ordered_tests;event.ihc_panel;event.added_markers",priority=2,true,"SC-040;SC-041;SC-065 -- HER2-ordered branch UNTESTED"
HE-007,Pathologist diagnosis: suspicious/atypical -> PROCEED_IHC (custom panel),knowledge_base/workflow_states.yaml:rules[HE-007],knowledge_base/rules/breast_ihc_panels.md#HE-007,"current_state;event.diagnosis;event.ihc_panel;event.added_markers",priority=3,true,"SC-042;SC-043;SC-069;SC-109"
HE-008,"Pathologist diagnosis: benign -> CANCEL_IHC, route to RESULTING",knowledge_base/workflow_states.yaml:rules[HE-008],knowledge_base/rules/breast_ihc_panels.md#HE-008,"current_state;event.diagnosis;event.ihc_cancelled;event.cancelled_tests",priority=4,true,"SC-044;SC-045;SC-087;SC-111"
HE-009,Pathologist requests recuts -> REQUEST_RECUTS (back to SECTIONING),knowledge_base/workflow_states.yaml:rules[HE-009],knowledge_base/rules/breast_ihc_panels.md#HE-009,"current_state;event.diagnosis=recut_requested;event.tissue_limited",priority=5,true,"SC-046;SC-047;SC-093;SC-099"
IHC-001,HER2 added by pathologist + fixation out of tolerance -> reject HER2 (set HER2_FIXATION_REJECT) (fires on ihc_staining_complete),knowledge_base/workflow_states.yaml:rules[IHC-001] applies_at=IHC_STAINING,knowledge_base/rules/fixation_requirements.md#IHC-001,"current_state;fixative;fixation_time_hours;event.her2_added_at_review;event.fixation_out_of_tolerance;event.her2_rejected;event.added_markers",priority=1,true,"SC-048;SC-094"
IHC-002,"All slides stained, IHC QC passed -> route to IHC_SCORING",knowledge_base/workflow_states.yaml:rules[IHC-002] applies_at=IHC_QC,knowledge_base/sops/ihc_staining.md#6.2,"current_state;event.slides;event.all_slides_complete=true",priority=2,true,"SC-050;SC-051;SC-058-SC-079 subset;SC-090-SC-098;SC-110 (33 total)"
IHC-003,Some IHC slides still pending -> HOLD at IHC_QC,knowledge_base/workflow_states.yaml:rules[IHC-003] applies_at=IHC_QC,knowledge_base/sops/ihc_staining.md#6.3,"current_state;event.slides;event.all_slides_complete=false;event.slides_complete;event.slides_pending",priority=3,true,"SC-052;SC-053"
IHC-004,"IHC staining failed, retry possible -> RETRY staining",knowledge_base/workflow_states.yaml:rules[IHC-004] applies_at=IHC_QC,knowledge_base/sops/ihc_staining.md#6.4,"current_state;event.slides;event.staining_failure=true;event.tissue_available=true;event.failed_marker",priority=4,true,"SC-051;SC-054;SC-055;SC-057"
IHC-005,"IHC staining failed, insufficient tissue -> ABORT (QNS)",knowledge_base/workflow_states.yaml:rules[IHC-005] applies_at=IHC_QC,knowledge_base/sops/ihc_staining.md#6.5,"current_state;event.slides;event.staining_failure=true;event.tissue_available=false",priority=5,true,"SC-056;SC-057"
IHC-006,"IHC scoring complete, no equivocal results -> route to RESULTING",knowledge_base/workflow_states.yaml:rules[IHC-006] applies_at=IHC_SCORING,knowledge_base/sops/ihc_staining.md#7.1,"current_state;event.scores;event.all_scores_complete=true;event.any_equivocal=false",priority=6,true,"SC-058;SC-059;SC-070-SC-079 subset;SC-090-SC-098;SC-110 (17 total)"
IHC-007,HER2 equivocal -> SUGGEST_FISH_REFLEX (set FISH_SUGGESTED),knowledge_base/workflow_states.yaml:rules[IHC-007] applies_at=IHC_SCORING,knowledge_base/sops/ihc_staining.md#7.2,"current_state;event.scores list of {test,value,equivocal};event.all_scores_complete;event.any_equivocal=true",priority=7,true,"SC-060-SC-069;SC-071;SC-075;SC-095;SC-096 (14 total)"
IHC-008,Pathologist approves FISH reflex -> FISH_SEND_OUT,knowledge_base/workflow_states.yaml:rules[IHC-008] applies_at=SUGGEST_FISH_REFLEX,knowledge_base/sops/ihc_staining.md#7.3,"current_state;event.approved=true",priority=8,true,"SC-062;SC-063;SC-066;SC-067;SC-068;SC-069;SC-071;SC-075"
IHC-009,Pathologist declines FISH reflex -> route to RESULTING,knowledge_base/workflow_states.yaml:rules[IHC-009] applies_at=SUGGEST_FISH_REFLEX,knowledge_base/sops/ihc_staining.md#7.4,"current_state;event.approved=false;event.reason",priority=9,true,"SC-064;SC-065;SC-096"
IHC-010,FISH result received from external lab -> route to RESULTING,knowledge_base/workflow_states.yaml:rules[IHC-010] applies_at=FISH_SEND_OUT,knowledge_base/sops/ihc_staining.md#7.5,"current_state;event.result;event.status;event.her2_gene_copy_number;event.her2_cep17_ratio",priority=10,true,"SC-066;SC-067;SC-071;SC-075;SC-095"
IHC-011,FISH external lab returns QNS -> ABORT (QNS),knowledge_base/workflow_states.yaml:rules[IHC-011] applies_at=FISH_SEND_OUT,knowledge_base/sops/ihc_staining.md#7.6,"current_state;event.result=qns;event.status;event.extended_processing;event.reason",priority=11,true,"SC-068;SC-069"
RES-001,MISSING_INFO_PROCEED flag present on order -> RESULTING_HOLD,knowledge_base/workflow_states.yaml:rules[RES-001],knowledge_base/sops/resulting.md#8.1,"current_state;flags (order-accumulated);event.outcome",priority=1,true,"SC-070;SC-071;SC-072;SC-073;SC-079;SC-090;SC-091;SC-097;SC-098"
RES-002,"Missing info received, re-evaluate flags -> proceed or remain on hold",knowledge_base/workflow_states.yaml:rules[RES-002],knowledge_base/sops/resulting.md#8.2,"current_state;flags;event.info_type;event.value",priority=2,true,"SC-072;SC-073;SC-079;SC-091;SC-098"
RES-003,"All scoring/testing complete, no blocking flags -> PATHOLOGIST_SIGNOUT",knowledge_base/workflow_states.yaml:rules[RES-003],knowledge_base/sops/resulting.md#8.3,"current_state;flags;event.outcome",priority=3,true,"SC-074;SC-075;SC-076;SC-077;SC-078;SC-079;SC-091;SC-094;SC-098"
RES-004,Pathologist selects reportable tests -> REPORT_GENERATION,knowledge_base/workflow_states.yaml:rules[RES-004],knowledge_base/sops/resulting.md#8.4,"current_state;event.reportable_tests",priority=4,true,"SC-076;SC-077;SC-078;SC-079;SC-094;SC-098"
RES-005,Report generated -> ORDER_COMPLETE,knowledge_base/workflow_states.yaml:rules[RES-005],knowledge_base/sops/resulting.md#8.5,"current_state;event.outcome",priority=5,true,"SC-078;SC-079;SC-094;SC-098"
